"content","username","tweet_published_at","type"
"@windyaqma gamaoooo, kapan lagi coldplay ke indonesia😭","denanfalah","2023-05-09 11:25:23+07","replied_to"
"masih menunggu ada yg ngetweet Coldplay band jelek dan polisi skena keluar ketika official coldplay ke Indonesia keluar","afifnurc","2023-05-09 11:08:56+07","tweet"
"NAHHH KAAAANNNN COLDPLAY KE INDONESIA WEHHH","JidatSeokjin","2023-05-09 10:37:56+07","retweet"
"✨ Asia &amp; Australia dates announced for November 2023 // Tokyo, Kaohsiung, Jakarta, Perth &amp; Kuala Lumpur // Ticket info at https://t.co/zvmn4wjE3J 

#MusicOfTheSpheresWorldTour https://t.co/9B0SwT9m0c","coldplay","2023-05-09 09:02:04+07","tweet"
"jd udah percaya blm coldplay ke indonesia @pinchipowww ? wkwkwkkws","pemudalincah","2023-05-09 10:37:41+07","tweet"
"kenapa coldplay ke Indonesia pas aku belum kerja sih :(","pharmajin","2023-05-09 10:36:31+07","tweet"
"PERTAMAKALI COLDPLAY KE INDONESIA DAN PERTAMAKALI AKU SENGEBET INI NONTON KONSER KEK HARUS DAPET 😭😭😭😭😭","sgtrsgvrl","2023-05-09 10:36:17+07","tweet"
"Aku tidak begitu tertarik Coldplay ke Indonesia, tapi begitu ada info kalau udah konfirmasi ARGENTINA VS INDONESIA anjir gw mau nonton Woy! Mau liat Enzo sama bang Messi","feelmyaespa","2023-05-09 10:33:30+07","tweet"
"Coldplay ke Indonesia adalah suatu oase pengharapan buat doain macem mas Harry Styles atau om John Mayer ke Indonesia (lagi) ("": Alias turut seneng dan ikut deg-degan pas liat konfirmasinya huhu semoga para fans yang war tiket dapet sesuai harapannya aminnn","MeraTobi","2023-05-09 10:31:07+07","tweet"
"Coldplay ke Indonesia, Chris Martin: Kami Sangat Bersemangat Konser Pertama di Negara Indahmu https://t.co/XJFWUrvWHy","KompasEnt","2023-05-09 09:58:02+07","tweet"
"15 Nov alias hari Rabu 🥴 tp Coldplay ke Indonesia seumur hidup cuma sekali jadi yaudah let's try the ticket war 💪🏼","dwlrsw","2023-05-09 10:23:17+07","retweet"
"[CONFIRMED]  COLDPLAY Music of the Spheres World Tour Live in Jakarta 2023 🪐

🚀 GBK -  Stadium Utama Gelora Bung Karno
⏰15 November 2023

Find details : https://t.co/9jW43H0bJ6 #MOTSWT 🪐 #ColdplayJakarta 🇮🇩 https://t.co/QbjzPA8oYc","IDWantsColdplay","2023-05-09 09:20:31+07","tweet"
"Surreal bgt Coldplay ke Indonesia","voirlebonheur","2023-05-09 10:03:46+07","retweet"
"Coldplay ke Indonesia cuy😭😭😭😭","mmiillvv","2023-05-09 10:02:34+07","retweet"
"Welcome to INDONESIA! @coldplay 
#IndonesiaWantsColdplay 🇮🇩 https://t.co/nigyjycC9V","IDWantsColdplay","2023-05-09 09:04:36+07","tweet"
"COLDPLAY KE INDONESIA DI SAAT AKU MASIH MISKIN😭😭","serinagustd","2023-05-09 09:56:48+07","tweet"
"Demi apa Coldplay ke Indonesia 😭😭😭","DewiRKurniawati","2023-05-09 09:49:47+07","tweet"
"Anjir coldplay ke indonesia","inisitacaa","2023-05-09 09:43:15+07","tweet"
"promotor yang bawa coldplay ke Indonesia adalah promotor yang sama yang bawa westlife ke Indonesia,

Westlife yang di stadion madya GBK 🥲🥲  agak worst ga sih kemaren? huhu","sellydnstr","2023-05-09 09:38:46+07","tweet"
"Penantian yang sangat lama akhirnya terwujudkan Coldplay ke Indonesia 😆","Aldifauzaaan","2023-05-09 09:28:23+07","retweet"
"@IDWantsColdplay @coldplay ALHAMDULILLAH UMUR DIPANJANGKAN HINGGA COLDPLAY KE INDONESIA JUGA AKHIRNYA, PENANTIAN LAMA TERJADI SUDAH 😭😭😭😭😭😭😭","paparazilicous","2023-05-09 09:18:40+07","replied_to"
"Sejujurnya, never ever imagine coldplay ke Indonesia secepat ini wkwkwkwk tapi tenang aja bestie, gue tetep buka jastip wkwkwkwk","bdailyrecords","2023-05-09 09:14:20+07","tweet"
"Penasaran Misi Rahasia Band Coldplay ke Indonesia? Begini Penjelasannya https://t.co/jWEg91LLVG","yorisa777","2023-05-10 08:30:29+07","tweet"
"Uang bisa di cari tapi Coldplay ke Indonesia cuma sekali","ilhamzidnif","2023-05-10 08:18:18+07","tweet"
"Coldplay ke indonesia? Kali ini aku tim ""engga dulu deh"" soalnya harga tiketnya bisa buat biaya hidup berbulan bulan","dlesssugar","2023-05-10 07:34:30+07","tweet"
"@ronyjrk @Frimawan Padahal coldplay ke indonesia","arzenaers","2023-05-10 07:24:03+07","replied_to"
"@astydewi @roshiro_ Uang bisa dicari. 
tapi Coldplay ke Indonesia hanya sekali. 

Info pinjol dan jual ginjal dibawah. 
Terimakasih 🤣🤣🤣","anggriawwan","2023-05-10 06:43:44+07","replied_to"
"Memang benar uang bisa dicari dan coldplay ke Indonesia cuman sekali. Tapi bariki aku rabi😭","arsymrsy","2023-05-10 06:23:18+07","tweet"
"Uang bisa di cari tapi Coldplay ke Indonesia cuma sekali... Jadi bingung mau jual apa biar bisa nonton😭...","Montage997718","2023-05-10 06:11:20+07","tweet"
"Uang bisa dicari tapi coldplay ke indonesia hanya sekali, angkat ktpmu kawan","bisamenghiburmu","2023-05-10 05:27:01+07","tweet"
"@buahnanaaas Uang bisa dicari
Tapi coldplay ke Indonesia cuma sekali","rrex_xona","2023-05-10 02:09:24+07","replied_to"
"@gisellmaf uang bisa dicari tapi coldplay ke Indonesia hanya sekali🙌  info pinjol sekian terimakasih","msyanandaa","2023-05-10 00:51:54+07","replied_to"
"Uang bisa dicari!! Iya tpi capek, coldplay ke indonesia kapan lagi? Gk tau wkwkwk
Yaudah,gasiin😌🙏","thdreannn","2023-05-10 00:45:14+07","tweet"
"uang bisa dicari tapi coldplay ke indonesia cuma sekali, yuk nabung yukk","Hilmanftr","2023-05-10 00:43:40+07","tweet"
"Akankan kedatangan coldplay ke indonesia melemahkan konser konser kdepan karna mungkin beberapa orang akan menyisihkan tabungannya untuk war tiket nanti","bebkelvin","2023-05-10 00:33:45+07","tweet"
"Uang bisa di cari.
Tapi #Coldplay ke Indonesia hanya sekali.","ibnufahri2011","2023-05-10 00:12:03+07","tweet"
"uang bisa dicari tapi Coldplay ke Indonesia hanya sekali LOL","ekahanihani","2023-05-09 23:57:44+07","tweet"
"uang bisa dicari, tapi coldplay ke Indonesia cuma sekali hiyaaaa","danieardhani","2023-05-09 23:20:33+07","tweet"
"ga bakal heboh coldplay ke indonesia aku bakalan heboh kalo dakjal turun ke indo duluan si","mkvrniasandyy","2023-05-09 23:15:53+07","tweet"
"@GOAL_ID Bodo amat. Bola tiap tahun pasti main, Coldplay belum tentu bakalan ke sini lagi. Udah belasan tahun nih nungguin Coldplay ke Indonesia baru kesampean.","Dhikalicious","2023-05-09 23:11:39+07","replied_to"
