content	username
['coldplay', 'indonesia', 'oh', 'cmon', 'rezeki', 'susul', 'noh', 'coldplay', 'dunia', 'tetep', 'nikah', 'trs', 'mu', 'butuh', 'biaya', 'berobat', 'nonton', 'duit', 'hasilin']	alzanzea_
['allah', 'coldplay', 'indonesia', 'tour', 'konser', 'nyanyi', 'qatar', 'hukum', 'islam', 'cerdas', 'piala', 'dunia', 'kemarin', 'indonesia', 'pancasila', 'toleransi']	whatthehappier
['dicounter', 'pakai', 'dicari', 'coldplay', 'indonesia']	otodanarz
['bdndjdnsjsjzna', 'coldplay']	bouskazoro
['hiburan', 'moral', 'terkecuali', 'coldplay', 'indonesia', 'khusus', 'mui', 'indentitas']	Awefroger
['temen2', 'menanti2', 'nonton', 'penantian', 'coldplay', 'indonesia', 'mental', 'korupsi', 'bkin', 'dikorbanin', 'tiket', 'laku']	hitirediamdad
['nnton', 'coldplay']	taurusnads
['eh', 'kontol', 'pikir', 'coldplay', 'indonesia']	lokernyagacha
['prihatin', 'coldplay', 'indonesia', 'peka', 'perasaan', 'rakyat', 'muslim']	dpd_ummatCiamis
['konfirmasi', 'resmi', 'coldplay', 'indonesia', 'kejutan', 'obrolan', 'coldplay', 'merebut', 'lampu', 'sorot', 'maya', 'linimasa', 'adadikompas']	KompasData
['doyan', 'shiver', 'coldplay']	debuatomik
['konser']	dinrayaujazla
['coldplay', 'lyric', 'bobo', 'welcome', 'mei', 'sila', 'bela', 'rela', 'pila', 'cahaya', 'nafsu', 'perut', 'melarat', 'duka', 'view']	b16slow
['ttp', 'priority', 'taylor', 'dli', 'sorry', 'bro']	soursadly
['bmth', 'dl', 'mo', 'coldplay']	ktpjajank
['diliat', 'masi', 'bts', 'coldplay', 'trs', 'svttxt', 'nyusul', 'kedepannya']	zendafiar
['nonton', 'coldplay']	panggilajajuu
['coldplay', 'beneran', 'indo']	ardsandd
['dicari', 'coldplay', 'indonesia', 'liat', 'messi', 'tackle', 'asnawi']	beporizal
['coldplay', 'indonesia']	vegetablefried1
['coldplay', 'indonesia', 'asnawi', 'tackle', 'messi', 'damn', 'indo']	boysoftheyear
['indonesia', 'klw', 'thn', 'thn', 'keburu', 'eike', 'tua', 'kuat']	GRhs292374
['coldplay', 'indonesia', 'berkalikali', 'messi', 'indonesia']	istighfarrs
['excited', 'mc', 'duties', 'coldplaybarcelona']	laurenevemay
['dicari', 'coldplay', 'indonesia', 'liat', 'messi', 'tackle', 'asnawi']	ahmadalfaris_
['berbisnis', 'rakyat', 'wapres']	LiarRonin
['nonton', 'messi', 'pinjol', 'nonton', 'coldplay']	anakmamanurr
['jumatan', 'bahas', 'indonesia', 'masya', 'allah', 'menteri', 'menerima', 'hati']	IJUN666
['indonesia', 'haram']	rachman0565
['dicari', 'coldplay', 'indonesia', 'liat', 'messi', 'tackle', 'asnawi']	yagovic
['coldplay', 'indonesia', 'pkir', 'duit', 'trus', 'pd', 'bedakanlah', 'kerjaan', 'profesional']	VeinDee
['timnas', 'coldplay', 'indonesia', 'paus', 'fransiskus', 'cawecawecawapres']	gerardomayolla
['coldplay', 'indonesia', 'chris', 'martin']	garinp4
['chris', 'martin', 'hadir', 'tour', 'coldplay', 'indonesia', 'penyakit', 'amandel', 'baru2', 'akibat', 'kebanyakan', 'makan', 'aldi', 'taher']	ardianfrmnsyah
['coldplay', 'indonesia', 'calo']	Bungwil
['coldplay', 'indonesia', 'wisata', 'sejarah', 'budaya', 'ke2', 'konser', 'ke3', 'ditutup', 'wisata', 'kuliner', 'nusantara', 'bertujuan', 'awareness', 'pariwisata', 'indonesia', 'masyarakat', 'bismillah', 'stafsus', 'kemenparekraf']	zulhamyachya
['messi', 'coldplay', 'indonesia', 'chris', 'martin']	sdnarm
['promotor', 'bawa', 'coldplay', 'indonesia']	uyeuyeuyeee
['infonya', 'november', 'indonesia']	DonIsilop
['bertobatlah', 'bestie', 'tanda', 'tanda', 'coldplay', 'indonesia']	Don_Musc
['coldplay', 'indonesia']	WMaulana_
['batalin', 'coldplay', 'indonesia', 'biar']	Mohaguss1708
['cepet', 'umumin']	fitriandiani
['coldplay', 'indonesia', 'calo', 'ketar', 'ketir', 'sambalasambalado']	irwinfesal
['kehabisan', 'tiket', 'coldplay']	itsyour_abe
['yah', 'bioskop', 'susah', 'bawa', 'coldplay', 'indonesia']	riossummers
['bismillah', 'indonesia', 'desember']	rmengnici
['coldplay', 'november', 'marai', 'ae']	hasgardians
['coldplay', 'indonesia', 'ttp', 'nonton']	nrmjtn
