content	username	mentioned
@IDWantsColdplay @coldplay ALHAMDULILLAH UMUR DIPANJANGKAN HINGGA COLDPLAY KE INDONESIA JUGA AKHIRNYA, PENANTIAN LAMA TERJADI SUDAH 😭😭😭😭😭😭😭	paparazilicous	['@IDWantsColdplay', '@coldplay']
@ronyjrk @Frimawan Padahal coldplay ke indonesia	arzenaers	['@ronyjrk', '@Frimawan']
"@astydewi @roshiro_ Uang bisa dicari. 
tapi Coldplay ke Indonesia hanya sekali. 

Info pinjol dan jual ginjal dibawah. 
Terimakasih 🤣🤣🤣"	anggriawwan	['@astydewi', '@roshiro_']
"@buahnanaaas Uang bisa dicari
Tapi coldplay ke Indonesia cuma sekali"	rrex_xona	['@buahnanaaas']
@gisellmaf uang bisa dicari tapi coldplay ke Indonesia hanya sekali🙌  info pinjol sekian terimakasih	msyanandaa	['@gisellmaf']
@GOAL_ID Bodo amat. Bola tiap tahun pasti main, Coldplay belum tentu bakalan ke sini lagi. Udah belasan tahun nih nungguin Coldplay ke Indonesia baru kesampean.	Dhikalicious	['@GOAL_ID']
Lalu lelaki satu ini @shidqihooligan alias bapaknya anak akuuu manas mansin dengan, “UANG BISA DICARI, COLDPLAY KE INDONESIA CUMA SEKALI.” 😭😭😭🥲😭🥲🥲🥲🥲😭😭😭😭	susanucan	['@shidqihooligan']
@pendakilawas rinjani bisa kapan saja coldplay ke indonesia belum tentu kapan saja	riscowahyudii	['@pendakilawas']
@PeoplePlues62 @rakasurya1806_ @GOAL_ID Satu lagi fmd kan tiap tahun ada ya, sedangkan coldplay ke Indonesia itu bisa seumur hidup sekali doang bang jadi tolong sedikit dibedain ya 🙏	nayelpotatoes	['@PeoplePlues62', '@rakasurya1806_', '@GOAL_ID']
@komikazer Padahal netizen yg nge-hype Coldplay ke Indonesia kalau ditanya band favorit pasti pilihannya band anti mainstream biar dikira musikalitas nya tinggi, jarang tuh yg jawab Coldplay 😅😅	monorahab	['@komikazer']
@txtdrpengusaha Anjir COLDPLAY KE INDONESIA DONG 🥹	Lalapolala__	['@txtdrpengusaha']
@txtdrpengusaha Alhamdulillah doa gw di denger akhirnya Coldplay ke Indonesia 😭😭	tifaarqi	['@txtdrpengusaha']
@txtdrpengusaha Anjir demi apa Coldplay ke Indonesia 🫠🫠	AdyasariReina	['@txtdrpengusaha']
@txtdrpengusaha Keren emang nih akhirnya Coldplay ke Indonesia jga	ulfiabasry	['@txtdrpengusaha']
@txtdrpengusaha Setelah sekian lama menunggu Coldplay ke Indonesia jg	nurfayaalfa	['@txtdrpengusaha']
"@lunarrmagic duit bisa dicari, coldplay ke indonesia cuma sekali.
info jual ginjal klik link dibawah ini :

LINK"	ilangwe	['@lunarrmagic']
@Maharannys uang bisa dicari tp coldplay ke Indonesia cuma sekali 🫣	pabloestafet	['@Maharannys']
@gimmeursweater ijin lah koasnya ditunda aje, kapan lg coldplay ke indonesia kuliah mah bisa taun depan lagi	FallennnnS	['@gimmeursweater']
@adeliaerlina kerja bisa tiap hari lin, tapi coldplay ke Indonesia kapan lagiiii 🤣	ekoesetiawan11	['@adeliaerlina']
"Jalan jalan bisa terhenti 
Tapi @coldplay ke indonesia hanya sekali.
Info jual sertifikat tanah dibawah ini"	Sego_karak13	['@coldplay']
@kixtchen duit bisa dicari, tapi Coldplay ke Indonesia cuma sekali. letsgoo!!	adammmsan	['@kixtchen']
"@cisiasf hari rabu datang tiap minggu tapi coldplay ke Indonesia cuma sekali 🙏🙏

*koreksi kata kata nya biar ky di tiktok"	iamshrkhd	['@cisiasf']
@kazenoshippo @txtfrombrand duit bisa dicari anying, coldplay cuma sekali ini doang, besok besok gw kaya raya tapi gatau kapan lagi coldplay ke indonesia	Thesinnerishere	['@kazenoshippo', '@txtfrombrand']
"@Indomieaceh4 Uang bisa dicari, coldplay ke Indonesia cuma sekali
Yuk gadaikan ktpmu"	dimasadan_	['@Indomieaceh4']
@ssefnum pusing mikirin kalau coldplay ke indonesia terus indonesia kemana?	masihnooob	['@ssefnum']
@MafiaWasit Memang kapan Coldplay ke Indonesia sebelum skrg? Kalau Fifa Matchday sih sering yaa...	JoeArifiando92	['@MafiaWasit']
@syahiraa27 makan bisa di kurangi, tapi coldplay ke indonesia cuman sekali 😂	hkml07_	['@syahiraa27']
@rickjaa_ uang bisa dicari, coldplay ke indonesia kapan lagi 🤪	babeyaga_	['@rickjaa_']
"Uang bisa dicari tapi @coldplay ke Indonesia hanya sekali. 
Angkat KTPmu kawan …"	rizaldiabdilah	['@coldplay']
@radenrauf UANG BISA DICARI TAPI COLDPLAY KE INDONESIA HANYA SEKALI	marcellinaape	['@radenrauf']
@bctpsj uang bisa dicari lagi, tp coldplay ke indonesia belum tentu 10 taun sekali	xamperinn	['@bctpsj']
@pendakilawas Coldplay. Rinjani gk kemana” tetep ada di Indonesia kan, klo coldplay ke Indonesia kapan lagi 🥹	jezziejel	['@pendakilawas']
@pendakilawas Rinjani ga akan kemana2, tapi coldplay ke Indonesia belum tentu 2 kali	sungoldhin	['@pendakilawas']
@gadisoengoe @coldplay Sat set sat set 🤪	arifnrokhman	['@gadisoengoe', '@coldplay']
@pendakilawas Uang bisa dicari, coldplay ke indonesia cuman sekali 🗿	rhxans	['@pendakilawas']
@brookllyne tidak ada yang tidak mungkin di dunia ini. Coldplay ke Indonesia saja awalnya ketidakmungkinan.	malkaleegra	['@brookllyne']
@6737RIEEE @dianoaxl @FikriMunafi @idextratime @ganjarpranowo pak @ganjarpranowo tolong jangan biarkan @coldplay ke indonesia. mereka ini atheis dan lgbt, sangat bertentangan dengan pancasila 🇮🇩❤️	miloknight77	['@6737RIEEE', '@dianoaxl', '@FikriMunafi', '@idextratime', '@ganjarpranowo', '@ganjarpranowo', '@coldplay']
@kegblgnunfaedh gass, kapan lagi coldplay ke indonesia	herdiansyh__	['@kegblgnunfaedh']
@worksfess Mending kayak tadi tuh siapa ya lupa, pokoknya kantornya libur Selasa-Rabu atau Rabu-Kamis pas Coldplay ke Indonesia. Terus ganti hari Sabtu-Minggu yang masuk.	inasmfdti	['@worksfess']
@aazisamin Pinjol bisa dilunasi, Coldplay ke Indonesia mungkin cuma sekali.	Styopebri	['@aazisamin']
@fadrimerdianto Duit bisa dicari, tapi coldplay ke Indonesia cuma sekali. KTP dan pinjol diciptakan bukan tanpa alasan.	aridwan05	['@fadrimerdianto']
@worksfess Mending resign ga si? Kapan lagi Coldplay ke Indonesia *kata yg udh book tiket 11jt	abangudinn_	['@worksfess']
Jangankan dari album parachutes, dari Mylo xyloto, ghost stories, ahfod tour semuaaaa ga ada yg bisa buat coldplay ke Indonesia dan cita-cita proposal promotor ku ini tercapai oleh @PK_ent_id @TEMGMT TEAM😭😭, dan  range harga yg gua buat di tahun 2017 paling murah masih sama!! https://t.co/aRrDimCWhQ	lauvyoubeb	['@PK_ent_id', '@TEMGMT']
@TxtdariHI Loh bukannya yg mereka dukung dulu malah yg bawa coldplay ke Indonesia? Loh heh loh heh	ahmadfaiqfkhr	['@TxtdariHI']
"@idextratime Lho lho lho, Coldplay bahaya cok.

Takutnya mereka bawa BOM, Laranng Coldplay ke Indonesia ❗❗❗"	Slurrpee2	['@idextratime']
@0GEKKK liat di yutub aja coldplay live concert in jakarta	thehot_man	['@0GEKKK']
