content	username	mentioned
@sbyfess Mending buat tabungan nikah atau nonton coldplay ya kak ? @waculukenet	secretnda	['@sbyfess', '@waculukenet']
"Info A1: Abis di GBK, infonya Coldplay juga akan main di Lapangan Kujon, Magelang. Siap2 War Ticket ya gaesss

@txtdrMagelang"	MiskinTV_	['@txtdrMagelang']
"@insyekurity Kayak Justin Bieber

Promotornya juga sama ini Coldplay sama JB"	profangga	['@insyekurity']
@jaehyunarcm coldplay (((kyknya)))	taecyron	['@jaehyunarcm']
@NurmeiMei Kirain coldplay konser ina, ayo mah kl iya	oi_filix315	['@NurmeiMei']
@mattchalova @celixalexandra Yu Coldplay tar km ga bayar ak ga bayar motor wkwk	pepskypaw	['@mattchalova', '@celixalexandra']
tolong bgt nihhh om om @SoundRhythm @AhmadSatrio3 buat coldplay, ticketingnya jangan jauh jauh hari bgt dongg, agak agaknya trauma sm justin, warnya mati matian taunya cancel😭 westlife juga lamaaaa bgt dr jeda ticketing ke konser , plg gl 3 bulan sebelum lah 🙏🏻😭	boy_seagul	['@SoundRhythm', '@AhmadSatrio3']
Infokan tiket coldplay yg murmer dong bang, belakang gawang juga gapapa 🙏@rayhansatr @lejekkk	koacipermen	['@rayhansatr', '@lejekkk']
@celixalexandra Nih yg kita obrolin kmrn, trnyt coldplay @Hfidh_	salmaadzk	['@celixalexandra', '@Hfidh_']
Announce Indonesia bang buru @coldplay	kinderjoyzzzx	['@coldplay']
Pak Menteri Sandiaga Uno @sandiuno posting ulang video Coldplay di Indonesia 🔥🔥🔥 https://t.co/FPALNeoJZH	constantane	['@sandiuno']
@sbyfess Semoga aku punya uang banyak biar bisa nonton coldplay, dari kuliah ngimpi banget ada di tengah-tengah konser coldplay 😭😭	ridtyd	['@sbyfess']
@zarryhendrik Kadang secondhand, kadang coldplay, kadang sleeping at last, kadang lagu india	kikimulkimuch	['@zarryhendrik']
@angewwie Dakota nih nanti kalo nikah ngundang Coldplay	lalishaay	['@angewwie']
@bellaldnvt Seperti kata pepatah “uang bisa dicari, konser coldplay gak datang 2 kali” 👍🏻	Chupacuphs	['@bellaldnvt']
@kaonashick @celixalexandra Lah yg beneer anjir radwimps apa coldplay y😭😭😭	dillakarnamu	['@kaonashick', '@celixalexandra']
@lg_nangis Cita cita gua ganti jadi nonton coldplay ci	sweetchaotics	['@lg_nangis']
@kegblgnunfaedh NGGA TAU BULAN APA: DRAMA TICKET COLDPLAY	disenthrax	['@kegblgnunfaedh']
@celixalexandra kalo ini fix udh deh tahun ini gue nonton wethefest sm coldplay aja yg lain maap dulu ya skip dlu 😵‍💫	spinksorbet	['@celixalexandra']
@sayabuttercup Irma kan inii?.. ya allah buat aline juga ya allah aline mau nonton coldplay 🤲🤲🤲🤲	alinestarryshi	['@sayabuttercup']
@recehtapisayng Aku memikirkan tiket coldplay	imalpinnn	['@recehtapisayng']
