content	username	tweet_published_at	type
@Poconggg “Kapan lg coldplay ke indonesia”	kitoorah	2023-05-14 22:00:52+07	replied_to
@kegblgnunfaedh selama gak ada simbol2 dan yang mengarah kesana, biasa aja. mereka juga datang harusnya sudah tau kultur kita, klo merek menantang, baru kerterlaluan. klo gak ada, ya nikmatin aja coldplay ke indonesia	Yudiansyahjr	2023-05-15 20:49:22+07	replied_to
@tvOneNews Udah lama2 nunggu coldplay ke Indonesia, malah pas ke Indonesia dia tolak sama fans madrid. Chuaks	Ravico27	2023-05-15 10:03:16+07	replied_to
@LurahEliite @ybaindonesia Ahahaha kalau tau nnti diajak ngepung bandara pas COLDPLAY ke Indonesia	wish_14	2023-05-15 18:05:27+07	replied_to
@txtdrpemerintah Kepung bandara, untuk menyambut kedatangan Coldplay ke Indonesia. Sambil bersama-sama menyanyikan FIX YOU	rois_arbisaid	2023-05-15 11:29:07+07	replied_to
"@tanyarlfes Gak masalah beli tiket pakai pinjol. Utang bisa dibayar kapan2. Coldplay ke Indonesia kapan lagi ?
🗿"	remahan_peyeek	2023-05-16 03:56:52+07	replied_to
"""Kan Coldplay Ke Indonesia mau konser bukan mau kampanye LGBT,kalopun emang bener dukung LGBT dan Atheis ya itu urusan pribadi mereka,"" cuit @m********.

#Coldplay #ColdplayinJakarta2023 #PA212 #LGBT #Jakarta #konser #viral https://t.co/PqYOkDyOYY"	Portal_PWT	2023-05-15 21:15:59+07	tweet
@AngelMoonBR @coldplay @alienradiofm Kkkkjkkkjkk	henrique_hertz	2023-05-02 05:02:11+07	replied_to
"@sosmedkeras Kulkas motor biss beli lagi, coldplay ke Indonesia kapan lagi??? 
tapi ga harus yg 11 juta lah 😭😭😭"	sheeshjade_	2023-05-16 19:18:48+07	replied_to
@sosmedkeras semangat bro. uang bisa dicari, coldplay ke indonesia kapan lagi? urusan nanti gimana? ya gimana nanti haha	egilalohhh	2023-05-16 17:32:25+07	replied_to
@sosmedkeras Uang bisa dicari, coldplay ke Indonesia kapan lagi	ASummerTruffle	2023-05-16 17:00:57+07	replied_to
"@sosmedkeras Kulkas dan motor bisa beli lagi
Coldplay ke Indonesia cuma sekali 😎"	oturanad	2023-05-16 16:17:04+07	replied_to
"@racunincenter @eIegantc @sosmedkeras Prinsip nya gini ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:55:17+07	replied_to
"@dikkdikkk @sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:54:27+07	tweet
"@sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:54:06+07	replied_to
saham @BankBCA harusnya melambung nih udah bisa bawa @coldplay ke indonesia 😊	ardhnsyah	2023-05-16 15:24:50+07	tweet
@txtdrpengusaha Anjay Coldplay ke Indonesia dong siap siap ges	ulfiabasry	2023-05-16 11:19:31+07	replied_to
"@tanyarlfes ""Coldplay ke Indonesia tuh sekali seumur hidup, daripada nyesel!"" Oke..."	doubleFnyadua	2023-05-16 09:15:28+07	replied_to
@Sro19963 @IDNTimes Maaf coldplay ke indonesia mau konser .bukan nyaleg 🗿	Darihat41109139	2023-05-17 08:13:48+07	replied_to
@Maliaaa____ @Heri_Horeh jgn lupa juga, cuma di era ini busa datangkan coldplay ke Indonesia.	loserbii	2023-05-16 23:13:38+07	replied_to
"@psi_id @coldplay @adearmando61 Coldplay ke Indonesia bukan Mau kampanye Soal LGBT , Bukan Mau Kampanye soal Atheis , Coldplay mau ke Indonesia mau nyanyi , mempersembahkan pertunjukan Karya nya. 
Aneh aneh aneh. 🤌🤌🤌🤌"	AzazelRich	2023-05-16 21:17:05+07	replied_to
"Baru say hi sama Chris Martin aja, yang nonton ikut deg-degan. Jadi enggak sabar nungguin Coldplay ke Indonesia.

Tungguin yah Mata Najwa “Exclusive Interview with Chris Martin of Coldplay” di YouTube Najwa Shihab dan website https://t.co/pFOrT6gsF8

@aiaindonesia

| Mata Najwa https://t.co/3ziXDALkgF"	NarasiNewsroom	2023-05-16 22:44:34+07	tweet
@sosmedkeras Kulkas dan motor bisa di beli lagi tapi coldplay ke Indonesia kapan lagi	jajange666	2023-05-16 22:00:18+07	replied_to
@dinhihope EMANG KENAPA? GASUKA? INI FIRST TIME COLDPLAY KE INDONESIA KALO LO GATAU!! DAN INI GRUP BAND LEGEND😡😡 —Ucap ngabers kalo ada yg ngedefend😎	rubychulisie	2023-05-16 21:50:31+07	tweet
"@sosmedkeras bener2 definisi ""uang bisa dicari, tapi coldplay ke indonesia hanya sekali"" 😭👍🏻"	cheezzzieu	2023-05-16 21:40:32+07	replied_to
"@efenerr Tempo hari menuliskan betapa senangnya aku begitu tau AKHIRNYA! Coldplay ke Indonesia. Ingat banget jaman2 di kantor deg2an pas dengar desas desus akan konser di Indonesia. Ternyata PHP. Alhamdulillah kesampaian nonton pas sdh pindah.

Makanya,tau betul betapa berharga konser ini"	Denald	2023-05-17 20:29:01+07	replied_to
@malameze Tolak coldplay ke indonesia, lgbt itu harooommm. TAKBEER 🍺	BernardNabban14	2023-05-17 14:50:18+07	replied_to
@Metro_TV @coldplay kok ga di JIS ?	deBUGsy	2023-05-09 05:07:17+07	replied_to
"@tanyarlfes Heran bgt sama orang orang fomo yang buat bertahan hidup aja udah ngap-ngapan tapi nekat pinjol demi ""Coldplay ke Indonesia cuma sekali"" trs nanti kalau gak bisa bayar pinjol ngerengek 🙃"	yutatangsel	2023-05-17 13:15:11+07	replied_to
@FadlyPradana inget.. coldplay ke indonesia tak akan terulang kembali...	venttry	2023-05-17 13:15:01+07	replied_to
"@PZeroVelo ""tapi kak kapan lagi coldplay ke Indonesia"""	koganenohikari	2023-05-17 12:27:14+07	tweet
@gentalubawan Jangan gitu kamuuuu. Uang bisa dicari tapi Coldplay ke Indonesia cuma sekali! 😡😡😡	RytRoc	2023-05-17 11:51:24+07	replied_to
@As_Kurnn Kerjaan bisa dicari, tapi Coldplay ke Indonesia cuma sekali ~	namasayadrk	2023-05-17 11:44:13+07	replied_to
@sosmedkeras Ginjal 1 tidak mati, coldplay ke indonesia kapan lagi	littlecilung	2023-05-17 10:40:36+07	replied_to
@nawamsirk @sosmedkeras bener bener konsep uang bisa dicari coldplay ke Indonesia masa ga pergi	jiochwe	2023-05-17 10:03:50+07	replied_to
"@sandiuno selamat malam pak. Saya sebagai fans Coldplay selama 20 thn sangat berterima kasih sudah berani dan bisa mendatangkan Coldplay ke Indonesia tahun ini.
Tetapi sangat disayangkan momen ini malah menjadi ajang pencarian uang oleh orang lain yang memiliki niat jahat."	_amoy	2023-05-17 23:14:21+07	tweet
"Kedatangan Coldplay ke Indonesia itu menggelar konser musik, bukan kampanye LGBT, jadi tak perlu ketakutan yang berlebihan.

Jaga saja iman masing-masing !

@MUIPusat https://t.co/5Aofv3oRU4"	ShenoWirang	2023-05-19 15:01:33+07	tweet
